Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C5, C6, C7, C8, C9",CP_Elec_10x10,7,470uF,
"C10, C11, C12, C13, C14, C3",1206,6,1uF,
"C15, C16, C17, C18, C19",0603,5,.1uF,
C4,0603,1,220nF,
"D1, D2, D3, D4, D5",D_SMB,5,SMBJ26A,
D6,D_SMB-SMC_Universal_Handsoldering,1,SMCJ26A,
D7,D_SOD-123,1,12V Zener,
F1,2410 Fuse,1,Fuse_0,
F2,1206,1,Fuse_1,
F3,1206,1,Fuse_2,
F4,1206,1,Fuse_3,
F5,1206,1,Fuse_4,
F6,1206,1,Fuse_5,
J1,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,Power_Input,
J10,PinHeader_1x01_P2.54mm_Vertical,1,3_Neg,
J11,PinHeader_1x01_P2.54mm_Vertical,1,4_Neg,
J12,PinHeader_1x01_P2.54mm_Vertical,1,5_Neg,
J17,PinHeader_1x03_P2.54mm_Vertical,1,Fan_1,
J18,PinHeader_1x03_P2.54mm_Vertical,1,Fan_2,
J2,Molex_Mini-Fit_Jr_5569-06A2_2x03_P4.20mm_Horizontal,1,Button_Input,
J20,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Sens,
J3,PinHeader_1x01_P2.54mm_Vertical,1,1_Pos,
J4,PinHeader_1x01_P2.54mm_Vertical,1,2_Pos,
J5,PinHeader_1x01_P2.54mm_Vertical,1,3_Pos,
J6,PinHeader_1x01_P2.54mm_Vertical,1,4_Pos,
J7,PinHeader_1x01_P2.54mm_Vertical,1,5_Pos,
J8,PinHeader_1x01_P2.54mm_Vertical,1,1_Neg,
J9,PinHeader_1x01_P2.54mm_Vertical,1,2_Neg,
Q1,TO-263-3_TabPin2,1,NCEP40PT15D,IRF9540NPBF
R1,1206,1,4.7k,
R2,0603,1,47k,
R3,0603,1,100,
R4,0603,1,100k,
